"source","target","sectionlength"
"LUDb   ","LUDv   ","1.0"
"LUBt-V ","LUDb   ","3.0"
"LUDc   ","LUDu   ","0.776"
"LUDv   ","LUDc   ","0.45"
"LUDu   ","LUVm   ","1.774"
"LUSchb ","LUSg   ","1.511"
"LUSg   ","LUEs   ","2.308"
"LUBt-V ","LUNz   ","4.09"
"LUNz   ","LUSchb ","1.388"
"LUBb   ","LUSchb ","1.277"
"LUEs   ","EU00100","1.534"
"LUBLy  ","LUBUn  ","0.924"
"LUDi   ","LUOk   ","1.55"
"LUBUn  ","LUBu   ","0.984"
"LUBu   ","LUEs   ","2.34"
"LUBr   ","LUBLy  ","0.79"
"LUBs   ","LUBr   ","1.63"
"LUD    ","LUDi   ","0.693"
"LUOk   ","LUBs   ","2.85"
"LUP    ","LUNk   ","3.0"
"LUNk   ","LUD    ","1.007"
"LUSr2  ","LUCu   ","2.475"
"LUCu   ","LUBi   ","4.055"
"LUEb   ","LUSr2  ","2.153"
"LUEb   ","LUDk   ","4.1"
"LUPa   ","LUWz   ","2.004"
"LUMk   ","LUPa   ","2.618"
"LUKt   ","LUMk   ","4.482"
"LUSy   ","LUOe   ","4.805"
"LUBc-E ","LUSy   ","5.324"
"LUL    ","LUF-S4 ","5.278"
"LUF-S4 ","LUBc-E ","1.131"
"LUF-S4 ","LUBc-N ","1.04"
"LUBc-N ","LUBc-E ","0.932"
"LUBc   ","LUBc-N ","1.209"
"LULt   ","LUL    ","0.95"
"LUHo   ","LULt   ","1.3"
"LUF-S6 ","LUF    ","1.34"
"LUF    ","LUHo   ","2.042"
"LULiv  ","LUBc   ","1.779"
"LUBc   ","LUF-S6 ","1.893"
"LUBt-V ","LULiv  ","2.185"
"EU00102","LUBt-V ","5.161"
"LUL    ","LUBtr  ","6.178"
"LUKb   ","EU00096","0.935"
"LUCp   ","LUKb   ","4.81"
"LUBtr  ","LUMr-L ","2.482"
"LUMr-L ","LUMr   ","1.108"
"LUMr   ","LUCp   ","3.252"
"LULh   ","LUL    ","1.396"
"LUSw   ","LUDr   ","2.608"
"LUP    ","LUBa   ","3.458"
"LUDr   ","LULd   ","5.06"
"LUBa   ","LUSw   ","3.172"
"LULd   ","LULh   ","4.706"
"LUTv   ","EU00095","7.869"
"LULr   ","LULi   ","2.962"
"LUSr   ","LUEb   ","2.234"
"LUCt   ","LUCb   ","2.872"
"LUCb   ","LUSr   ","1.718"
"LUWf   ","LUHd   ","1.526"
"LUMe   ","LUCv   ","2.237"
"LUWw   ","LUDf   ","3.683"
"LUMl   ","LUTv   ","4.517"
"LULi   ","LUM    ","3.612"
"LUDm   ","LUWf   ","3.174"
"LUGb   ","LUKt   ","4.275"
"LUCv   ","LUMl   ","3.871"
"LUEb   ","LUBd   ","3.523"
"LUHd   ","LULr   ","2.631"
"LUPf-K ","LUDm   ","1.78"
"LUM    ","LUCt   ","5.625"
"LUKt   ","LUWw   ","23.541"
"LUDf   ","LUMe   ","3.977"
"LUMc   ","LUGb   ","4.506"
"LUBd   ","LUMc   ","2.533"
"LUL    ","LUPf-K ","2.4"
"LUL    ","LUCs   ","3.15"
"LUMn   ","LUMt   ","4.374"
"LUOe   ","LUMb   ","3.362"
"LUBz   ","LUWk   ","3.022"
"LUW    ","EU00009","0.559"
"LURt   ","LUBz   ","4.371"
"LUMb   ","LURt   ","4.945"
"LUWk   ","LUMn   ","2.914"
"LUSc   ","LUOe   ","4.88"
"LUMt   ","LUW    ","1.916"
"LUCs   ","LUSc   ","3.95"
"LUNz   ","LUBb   ","1.22"
"LUBb   ","LUKa   ","1.735"
"LUKa   ","LUTg   ","0.936"
"LUTg   ","LURu   ","1.999"
"LUP130 ","EU00098","1.061"
"LUP    ","LULm   ","1.3"
"LULm   ","LUR    ","1.29"
"LUR    ","LUP130 ","0.417"
"LUP130 ","EU00097","1.061"
"LUP130 ","EU00099","2.154"
"LUTg   ","LULg   ","3.3"
